date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:00	70/70	---M-Z	200	added ('OK')	text/plain	date:Tue,%2021%20Jul%202020%2000:01:00%20GMT	https://crecermed.com/robots.txt		(from )
19:01:01	84194/84194	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jul%202020%2000:01:00%20GMT	https://crecermed.com/	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/index.html	(from )
19:01:02	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2021%20Jul%202020%2000:01:02%20GMT	https://crecermed.com/xmlrpc.php	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/xmlrpc.php	(from https://crecermed.com/)
19:01:02	851/851	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Feb%202020%2005:30:47%20GMT	https://crecermed.com/wp-content/uploads/2017/09/favicon-crecermed.png	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/wp-content/uploads/2017/09/favicon-crecermed.png	(from https://crecermed.com/)
19:01:03	150/150	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Jul%202020%2000:01:02%20GMT	http://themewing.com/wordpress/petcare/wp-content/uploads/2015/05/counter-bg11.jpg?id=1091	C:/Mis%20lugares%20Web/neovalle2/themewing.com/wordpress/petcare/wp-content/uploads/2015/05/counter-bg11.2fffe.delayed	(from https://crecermed.com/)
19:01:06	29295/29295	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202019%2022:10:04%20GMT	https://crecermed.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.7	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/wp-includes/css/dist/block-library/style.min6e7a.css	(from https://crecermed.com/)
19:01:06	45958/45958	---MC-	200	added ('OK')	text/javascript	date:Thu,%2004%20Jun%202020%2023:38:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Mis%20lugares%20Web/neovalle2/www.google-analytics.com/analytics.js	(from https://crecermed.com/)
19:01:06	17380/17380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	C:/Mis%20lugares%20Web/neovalle2/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://crecermed.com/)
19:01:07	64720/64720	---MC-	200	added ('OK')	application/rss+xml	etag:%2235ab99e9cb819496814b3c55e85538ed%22	https://crecermed.com/feed/	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/feed/index.html	(from https://crecermed.com/)
19:01:07	1645/1645	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Feb%202020%2005:30:22%20GMT	https://crecermed.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://crecermed.com/)
19:01:07	29629/29629	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Feb%202020%2005:30:16%20GMT	https://crecermed.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.3.1.5	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/wp-content/plugins/revslider/public/assets/css/settings4ee1.css	(from https://crecermed.com/)
19:01:07	707/707	---M--	200	added ('OK')	application/rss+xml	etag:%224c49074d0bb6116058e380c9c2a40e3b%22	https://crecermed.com/comments/feed/	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/comments/feed/index.html	(from https://crecermed.com/)
19:01:07	0/0	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Feb%202020%2005:30:09%20GMT	https://crecermed.com/wp-content/plugins/wp-spam-fighter/css/wpsf.css?ver=0.5.1	C:/Mis%20lugares%20Web/neovalle2/crecermed.com/wp-content/plugins/wp-spam-fighter/css/wpsfd633.css	(from https://crecermed.com/)
